GeoCode,Country,Indicator,Year,Value,Unit
AS,American Samoa,Sea Surface Temperature anomalies,1957,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1958,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1959,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1960,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1961,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1962,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1963,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1964,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1965,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1966,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1967,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1968,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1969,0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1970,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1971,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1972,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1973,0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1974,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1975,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1976,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1977,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1978,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1979,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1980,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1981,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1982,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1983,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1984,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1985,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1986,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1987,-0.1,Celsius (°C)
